district,date,risk,risk_confidence,best_crop,precipitation,temperature,precip_7d,temp_7d_avg
Rangpur,20210715,low,0.993,Maize,6.57,29.14,33.0,29.14
Rangpur,20220715,medium,0.979,Boro Rice,3.32,29.65,6.81,29.46
Rangpur,20230715,low,0.989,Jute,5.06,29.34,91.88,29.33
Rangpur,20240715,low,0.986,Jute,4.35,30.14,147.92,29.28
Rangpur,20250715,low,1.0,Aman Rice,15.76,28.09,69.98,28.91
